"id";"year"
221276074;2018
385262041;2020
231982990;2018
158210831;2017
353059556;2019
152375081;2017
302184801;2019
302109901;2019
150908653;2017
226041682;2018
349384750;2019
260864940;2019
260044686;2019
180965671;2018
244288360;2019
176573992;2018
151838730;2017
168722787;2018
204573845;2018
105650030;2017
282295140;2019
231972077;2018
180955358;2018
150815303;2017
176569642;2018
197213799;2018
87818900;2016
256115387;2019
245973670;2019
150801716;2017
244287926;2019
231939288;2018
226015631;2018
349257732;2019
222542905;2018
295530679;2019
149396275;2017
295456959;2019
295251535;2019
295178287;2019
222542458;2018
176532670;2018
244283224;2019
231934589;2018
216274762;2018
150808502;2017
245937075;2019
176526989;2018
349245327;2019
295074694;2019
292422804;2019
292257480;2019
226014226;2018
147172965;2017
244282624;2019
231930055;2018
164184903;2018
292151515;2019
176500933;2018
244276257;2019
291997885;2019
164368826;2018
349233838;2019
244248541;2019
291778563;2019
291750323;2019
216261188;2018
291742025;2019
214063171;2018
244244621;2019
406686139;2020
349128609;2019
245913649;2019
268011370;2019
67836809;2016
213600493;2018
83849161;2016
73346552;2016
380981551;2020
69253301;2016
273330301;2019
219781873;2018
222541395;2018
380976399;2020
233093676;2018
306051755;2019
98068890;2016
231926819;2018
289901542;2019
286586148;2019
268008176;2019
252369084;2019
349125509;2019
192471945;2018
263315958;2019
263110650;2019
259955194;2019
184827963;2018
184795334;2018
244239593;2019
67111455;2016
151837009;2017
286469274;2019
273325789;2019
225997969;2018
105648389;2017
78067930;2016
380926954;2020
245865809;2019
258679027;2019
244231941;2019
164184099;2018
234579468;2018
273313637;2019
221267709;2018
151834171;2017
283827173;2019
231917324;2018
265966824;2019
244197679;2019
176455407;2018
225983586;2018
278252459;2019
185002469;2018
281975441;2019
328957620;2019
244179231;2019
231912903;2018
282057097;2019
282053947;2019
348730164;2019
281877439;2019
281756159;2019
222541274;2018
146598750;2017
184999344;2018
164182417;2018
231911229;2018
281722445;2019
167326709;2018
177932333;2018
244176869;2019
225965836;2018
111255506;2017
102291743;2017
83835767;2016
71396444;2016
231908666;2018
176407177;2018
278447435;2019
299655723;2019
244171499;2019
105644163;2017
67834425;2016
380872206;2020
275538822;2019
222541193;2018
142804308;2017
231904774;2018
142638180;2017
253666545;2019
214060351;2018
218536830;2018
135972019;2017
244082772;2019
192250959;2018
275536372;2019
278269186;2019
278248755;2019
244064957;2019
275283301;2019
275543674;2019
273310941;2019
78064851;2016
150564163;2017
225952097;2018
275440334;2019
275435465;2019
275434458;2019
204375249;2018
273319474;2019
275234731;2019
253574915;2019
65861410;2016
241375322;2018
239706307;2018
219667603;2018
105636976;2017
244000434;2019
196959232;2018
270701097;2019
273016730;2019
231888396;2018
176397687;2018
157716866;2017
348699043;2019
273279288;2019
225936044;2018
214035304;2018
243989633;2019
164176542;2018
271689514;2019
270519554;2019
176379144;2018
340382124;2019
96116637;2016
146065141;2017
231883825;2018
154731851;2017
105628615;2017
87801050;2016
99441336;2016
164174777;2018
184980295;2018
73339890;2016
148302714;2017
66656626;2016
235514037;2018
222541158;2018
65722618;2016
206662914;2018
147172487;2017
164361263;2018
204586344;2018
428376761;2020
243898503;2019
