"id";"author_id"
353297646;3065230
350274906;718899
350274906;38908416
330575100;2932786
206258424;2352663
350230679;275871
350230679;855219
350230679;855219
350230679;275871
192152581;54666
350230679;275871
330575100;598730
70255644;287917
206258424;899444
168555804;234659
350230679;275871
350230679;275871
350230679;739555
350230679;739555
206258424;2352663
192007920;718899
349803705;899444
349803705;899444
349803705;899444
349803705;2512748
349803705;275871
349803705;2512748
349803705;275871
349803705;2512748
206258424;899444
349803705;2512748
349803705;275871
349803705;2512748
349803705;275871
349803705;275871
349803705;275871
349803705;7960821
349803705;8822573
206258424;9109612
192152581;54666
349803705;5445507
349803705;7960821
349803705;7960821
349803705;5445507
349753619;5445507
349754117;8822573
330575100;45469
206258424;899444
349754117;8822573
349754117;17013303
349754117;8822573
349754117;8822573
349754117;17013303
311110080;567540
206258424;899444
206258424;9109612
349753619;46688537
346474025;5445507
346474025;5445507
346409112;8822573
346380644;498775
346352396;9109612
346352396;2512748
322392799;3065230
346352396;9109612
346352396;206364
186710054;439929
346107361;567540
206258424;9109612
192007920;10393198
224145160;718899
346107361;598730
346107361;2932786
346107361;598730
346107361;598730
346107361;2932786
131348383;1538624
346622430;2352663
333187205;3109072
346107361;498775
346107361;498775
346107361;598730
330519777;3109072
326144090;3709715
326095739;718899
206255875;54666
191945104;3109072
346107361;598730
346107361;598730
346107361;498775
206255875;4299420
346107361;498775
391265127;3065230
346107361;899444
339958708;16024985
345937797;275871
326004148;4922778
345937797;54666
311110080;598730
264589621;275871
406582506;3065230
342168723;899444
206255875;3020626
165402083;8822573
345937797;275871
345926166;495647
345926166;498775
341846635;54666
412868515;598730
172733451;5952481
341848314;9109612
341848314;5445507
341846635;8500303
341846635;15256227
341848314;9109612
341846635;8500303
172733451;6306796
341846635;899444
341846635;8500303
341846635;1935767
341846635;1935767
341846635;8500303
341846635;8500303
278234962;8822573
206212785;13121330
341823803;54666
341846635;2346707
339959472;439929
339958708;11634585
339954885;9109612
339953946;718899
339953946;718899
206212785;3109072
336298810;275871
336298810;275871
336074083;5445507
322392799;52195
336074083;5952481
336074083;8822573
336074083;17607
336020753;4922778
249309154;2352663
168555804;1315533
336018519;899444
336018519;899444
336018519;899444
336018519;4011348
336018519;4011348
336018519;4011348
336018519;8500303
336018519;4011348
331192929;2672503
206212785;13121330
70255644;287917
336018519;4011348
331192929;2672503
331192929;718899
331132634;899444
331011711;5445507
331004762;899444
331004762;10602
206204604;899444
191945104;3109072
331004762;10602
331004762;10602
330921833;2352663
206204604;899444
191945104;4299420
186710054;439929
330899861;5445507
165402083;8822573
330899861;3759816
206204604;899444
165402083;8822573
326630172;10602
330899861;3759816
330899861;3709715
326630172;1538624
311110080;439929
96446704;17607
305862812;439929
305650689;3065230
206204604;899444
326504659;17607
326504659;3109072
326476432;439929
326476432;17607
206204604;2352663
191945104;4299420
168555804;598730
326476432;718899
326476432;275871
326454796;23313266
326454796;598730
322507624;10393198
206204604;2352663
326404855;2512748
326404855;1093990
326404855;5445507
326250009;1093990
326250009;10393198
326250009;1093990
322507624;899444
206204604;2352663
